refactoring_type,file_path,method_name,class_name,lines_changed,cyclomatic_complexity,nesting_depth,commit_sha
Remove Variable Modifier,extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java,,GraphAdapterBuilder,244,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,extras/src/main/java/com/google/gson/graph/GraphAdapterBuilder.java,,GraphAdapterBuilder,244,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,extras/src/test/java/com/google/gson/typeadapters/PostConstructAdapterFactoryTest.java,,PostConstructAdapterFactoryTest,34,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,extras/src/test/java/com/google/gson/typeadapters/PostConstructAdapterFactoryTest.java,,PostConstructAdapterFactoryTest,36,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,20,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Rename Variable,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,10,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,32,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Rename Variable,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,6,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,38,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Rename Variable,gson/src/test/java/com/google/gson/GsonBuilderTest.java,,GsonBuilderTest,6,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,164,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,164,1,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,174,2,0,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,100,2,1,0eb681b1a3ed8e2241f926446abc9b62c5986bbf
