refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Modify Method Annotation,EnvironmentUtilTest,package,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,4,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,7,2,2,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,15,4,2,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Variable Type,EnvironmentUtilTest,package,1,2,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Variable Type,EnvironmentUtilTest,package,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,6,2,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Variable Type,EnvironmentUtilTest,package,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,5,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Variable Type,EnvironmentUtilTest,package,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,6,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Variable Type,EnvironmentUtilTest,package,1,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Change Method Access Modifier,EnvironmentUtilTest,package,7,1,1,platform/util/testSrc/com/intellij/util/EnvironmentUtilTest.java,da0bb5526d5033e9b6607221e8f1d290a4b9f1b4,11,1
Inline Variable,HgMoveTest,public,1,1,1,plugins/hg4idea/testSrc/org/zmlx/hg4idea/test/HgMoveTest.java,88828ba67642ae9b36756889de4d445b5bb15fe9,12,4
Change Variable Type,HgMoveTest,public,1,1,1,plugins/hg4idea/testSrc/org/zmlx/hg4idea/test/HgMoveTest.java,88828ba67642ae9b36756889de4d445b5bb15fe9,12,4
Add Class Annotation,CheckCanceledEvent,,46,9,2,platform/platform-impl/src/com/intellij/openapi/progress/impl/CheckCanceledEvent.java,221242a510cce7c2ad2389c10ede8b2f5e9183ca,4,0
Extract Variable,AddMissingPropertyFix,public,1,1,1,json/backend/src/com/jetbrains/jsonSchema/impl/fixes/AddMissingPropertyFix.java,e6875fbbef6976e52cd157436e95963e0b11982e,2,4
Add Method Annotation,WatchNodeImpl,public,3,1,1,platform/xdebugger-impl/src/com/intellij/xdebugger/impl/ui/tree/nodes/WatchNodeImpl.java,e98d6fd3593c34427bb5233f0aef64ca80270f59,18,4
Add Class Annotation,XEvaluationCallbackWithOrigin,,3,1,1,platform/xdebugger-impl/src/com/intellij/xdebugger/impl/ui/tree/nodes/XEvaluationCallbackWithOrigin.java,e98d6fd3593c34427bb5233f0aef64ca80270f59,19,0
Add Class Annotation,ActionGroupPanelWrapper,,44,5,4,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,0
Replace Anonymous With Class,ActionGroupPanelWrapper,,44,5,4,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,0
Rename Method,ActionGroupPanelWrapper,,22,6,5,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,0
Change Variable Type,ActionGroupPanelWrapper,public,2,1,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,4
Rename Variable,ActionGroupPanelWrapper,public,2,1,1,platform/platform-impl/src/com/intellij/openapi/wm/impl/welcomeScreen/ActionGroupPanelWrapper.java,dbd4a6b928d91015838b32e6446f110f1afb585d,0,4
