refactoring_type,file_path,method_name,class_name,lines_changed
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java,,ConstructorConstructor,94
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/Excluder.java,,Excluder,90
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,118
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,,ReflectiveTypeAdapterFactory,214
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/ReflectionAccessFilterHelper.java,,ReflectionAccessFilterHelper,74
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,164
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,166
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java,,UnsafeAllocator,166
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/EnumTypeAdapter.java,,EnumTypeAdapter,86
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,nextJsonElement,JsonTreeReader,26
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java,nextJsonElement,JsonTreeReader,26
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/NumberTypeAdapter.java,,NumberTypeAdapter,22
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java,,ObjectTypeAdapter,26
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,24
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,24
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,33
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,33
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,48
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,50
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,62
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,90
Remove Parameter Modifier,gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java,,TypeAdapters,90
Remove Variable Modifier,gson/src/main/java/com/google/gson/internal/sql/SqlTimestampTypeAdapter.java,,SqlTimestampTypeAdapter,22
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,15
Remove Parameter Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,56
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,120
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,120
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,120
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,220
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,220
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,300
Remove Variable Modifier,gson/src/test/java/com/google/gson/GsonTest.java,,GsonTest,220
Remove Parameter Modifier,gson/src/main/java/com/google/gson/Gson.java,,Gson,30
Remove Parameter Modifier,gson/src/main/java/com/google/gson/Gson.java,,Gson,62
Remove Variable Modifier,gson/src/test/java/com/google/gson/TypeAdapterTest.java,,TypeAdapterTest,54
Remove Variable Modifier,gson/src/test/java/com/google/gson/common/TestTypes.java,,TestTypes,22
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,70
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,70
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,70
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,74
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,74
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java,,ConcurrencyTest,74
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/DelegateTypeAdapterTest.java,,DelegateTypeAdapterTest,36
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnClassesTest.java,,JsonAdapterAnnotationOnClassesTest,34
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java,,JsonAdapterAnnotationOnFieldsTest,34
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java,,JsonAdapterAnnotationOnFieldsTest,30
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/JsonAdapterAnnotationOnFieldsTest.java,,JsonAdapterAnnotationOnFieldsTest,34
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/MapTest.java,,MapTest,72
Replace Anonymous With Lambda,gson/src/test/java/com/google/gson/functional/NamingPolicyTest.java,,NamingPolicyTest,46
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ObjectTest.java,,ObjectTest,38
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ParameterizedTypesTest.java,,ParameterizedTypesTest,24
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ReflectionAccessTest.java,,ReflectionAccessTest,122
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ReflectionAccessTest.java,,ReflectionAccessTest,122
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/ReflectionAccessTest.java,,ReflectionAccessTest,122
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/RuntimeTypeAdapterFactoryFunctionalTest.java,,RuntimeTypeAdapterFactoryFunctionalTest,132
Remove Variable Modifier,gson/src/test/java/com/google/gson/functional/RuntimeTypeAdapterFactoryFunctionalTest.java,,RuntimeTypeAdapterFactoryFunctionalTest,132
Remove Variable Modifier,extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java,,RuntimeTypeAdapterFactory,178
Remove Variable Modifier,extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java,,RuntimeTypeAdapterFactory,178
Remove Variable Modifier,extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java,,RuntimeTypeAdapterFactory,178
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/TypeAdapterPrecedenceTest.java,,TypeAdapterPrecedenceTest,18
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/TypeAdapterPrecedenceTest.java,,TypeAdapterPrecedenceTest,18
Remove Parameter Modifier,gson/src/test/java/com/google/gson/functional/TypeAdapterPrecedenceTest.java,,TypeAdapterPrecedenceTest,28
Remove Variable Modifier,gson/src/test/java/com/google/gson/internal/bind/Java17ReflectiveTypeAdapterFactoryTest.java,,Java17ReflectiveTypeAdapterFactoryTest,20
Remove Variable Modifier,gson/src/test/java/com/google/gson/internal/bind/JsonElementReaderTest.java,,JsonElementReaderTest,48
Remove Variable Modifier,gson/src/test/java/com/google/gson/internal/bind/util/ISO8601UtilsTest.java,,ISO8601UtilsTest,12
Remove Parameter Modifier,gson/src/test/java/com/google/gson/stream/JsonReaderTest.java,,JsonReaderTest,40
Remove Variable Modifier,metrics/src/main/java/com/google/gson/metrics/BagOfPrimitives.java,,BagOfPrimitives,22
Remove Variable Modifier,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java,,ProtosWithComplexAndRepeatedFieldsTest,34
Remove Variable Modifier,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java,,ProtosWithComplexAndRepeatedFieldsTest,26
Remove Variable Modifier,proto/src/test/java/com/google/gson/protobuf/functional/ProtosWithComplexAndRepeatedFieldsTest.java,,ProtosWithComplexAndRepeatedFieldsTest,18
Remove Variable Modifier,proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java,,ProtoTypeAdapter,64
Remove Variable Modifier,proto/src/main/java/com/google/gson/protobuf/ProtoTypeAdapter.java,,ProtoTypeAdapter,64
Add Class Annotation,gson/src/main/java/com/google/gson/JsonIOException.java,,JsonIOException,56
Add Class Annotation,gson/src/main/java/com/google/gson/internal/$Gson$Types.java,,$Gson$Types,1302
Add Class Annotation,gson/src/main/java/com/google/gson/internal/$Gson$Preconditions.java,,$Gson$Preconditions,76
Add Class Annotation,gson/src/test/java/com/google/gson/internal/bind/util/ISO8601UtilsTest.java,,ISO8601UtilsTest,192
Add Class Annotation,gson/src/test/java/com/google/gson/functional/TypeHierarchyAdapterTest.java,,TypeHierarchyAdapterTest,8
Add Class Annotation,gson/src/test/java/com/google/gson/functional/VersioningTest.java,,VersioningTest,10
Add Class Annotation,gson/src/test/java/com/google/gson/functional/VersioningTest.java,,VersioningTest,12
