refactoring_type,file_path,method_name,class_name,lines_changed,commit_sha
Add Parameter Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,public,ReferenceAttribute,21,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Remove Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,private,ReferenceAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Remove Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,private,ReferenceAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Remove Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,private,ReferenceAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Reorder Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,public,ReferenceAttribute,29,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Remove Method Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,private,ReferenceAttribute,19,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Change Method Access Modifier,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,public,ReferenceAttribute,18,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/ReferenceAttribute.java,protected,ReferenceAttribute,17,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/TypedAttribute.java,,TypedAttribute,38,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,,UnresolvedAttribute,12,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Extract Method,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,,UnresolvedAttribute,49,99318f459902d478c8c5ae46c7ae36afa76c4d0b
Add Parameter Annotation,x-pack/plugin/esql-core/src/main/java/org/elasticsearch/xpack/esql/core/expression/UnresolvedAttribute.java,public,UnresolvedAttribute,9,99318f459902d478c8c5ae46c7ae36afa76c4d0b
