refactoring_type,class_name,method_name,lines_changed,cyclomatic_complexity,nesting_depth,file_path,commit_sha,class_encoded,method_encoded
Rename Parameter,SubclassByteBuddyMockMaker,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassByteBuddyMockMaker.java,d000e630775cfa45752eeb491a197283e7370621,18,4
Change Parameter Type,SubclassBytecodeGenerator,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,d000e630775cfa45752eeb491a197283e7370621,19,4
Rename Parameter,SubclassBytecodeGenerator,public,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,d000e630775cfa45752eeb491a197283e7370621,19,4
Rename Parameter,SubclassBytecodeGenerator,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,d000e630775cfa45752eeb491a197283e7370621,19,2
Change Parameter Type,SubclassBytecodeGenerator,package,1,1,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,d000e630775cfa45752eeb491a197283e7370621,19,2
Change Method Access Modifier,SubclassBytecodeGenerator,package,10,3,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/SubclassBytecodeGenerator.java,d000e630775cfa45752eeb491a197283e7370621,19,2
Rename Method,AndroidLoadingStrategy,,19,5,1,mockito-extensions/mockito-android/src/main/java/org/mockito/android/internal/creation/AndroidLoadingStrategy.java,d000e630775cfa45752eeb491a197283e7370621,0,0
Remove Parameter,AndroidLoadingStrategy,public,1,1,1,mockito-extensions/mockito-android/src/main/java/org/mockito/android/internal/creation/AndroidLoadingStrategy.java,d000e630775cfa45752eeb491a197283e7370621,0,4
Remove Parameter,AndroidLoadingStrategy,public,1,1,1,mockito-extensions/mockito-android/src/main/java/org/mockito/android/internal/creation/AndroidLoadingStrategy.java,d000e630775cfa45752eeb491a197283e7370621,0,4
Remove Parameter,AndroidLoadingStrategy,public,1,1,1,mockito-extensions/mockito-android/src/main/java/org/mockito/android/internal/creation/AndroidLoadingStrategy.java,d000e630775cfa45752eeb491a197283e7370621,0,4
Rename Method,ModuleUseTest,,6,1,1,mockito-integration-tests/module-named-tests/src/test/java/org/mockito/modulenamedtest/ModuleUseTest.java,d000e630775cfa45752eeb491a197283e7370621,14,0
Change Attribute Type,MockMethodInterceptor,,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,0
Change Attribute Access Modifier,MockMethodInterceptor,,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,0
Change Attribute Type,MockMethodInterceptor,,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,0
Change Parameter Type,MockMethodInterceptor,public,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,4
Change Parameter Type,MockMethodInterceptor,public,1,2,1,mockito-core/src/main/java/org/mockito/internal/creation/bytebuddy/MockMethodInterceptor.java,d000e630775cfa45752eeb491a197283e7370621,10,4
